index,a_id,string,stem,cluster,new_label,count,keep,new_cluster
823,a824,BBQ grill: wood-burning,bbq grill,13,0,4,1,BBQ
822,a823,BBQ grill: gas,bbq grill,13,0,236,1,BBQ
821,a822,BBQ grill: electric,bbq grill,13,0,10,1,BBQ
820,a821,"BBQ grill: charcoal, wood-burning",bbq grill,13,0,1,1,BBQ
819,a820,"BBQ grill: charcoal, gas",bbq grill,13,0,11,1,BBQ
818,a819,BBQ grill: charcoal,bbq grill,13,0,66,1,BBQ
817,a818,BBQ grill,bbq grill,13,0,1961,1,BBQ
2483,a2484,Shared backyard – Not fully fenced,share backyard,13,1,199,1,Backyard
828,a829,Backyard,backyard,13,1,1331,1,Backyard
829,a830,Backyard - Fully fenced,backyard,13,1,7,1,Backyard
830,a831,Backyard - Not fully fenced,backyard,13,1,18,1,Backyard
2340,a2341,Private backyard – Fully fenced,privat backyard,13,1,626,1,Backyard
2339,a2340,Private backyard,privat backyard,13,1,52,1,Backyard
2482,a2483,Shared backyard – Fully fenced,share backyard,13,1,205,1,Backyard
2481,a2482,Shared backyard,share backyard,13,1,71,1,Backyard
2341,a2342,Private backyard – Not fully fenced,privat backyard,13,1,322,1,Backyard
858,a859,Beach access,beach access,13,2,2,1,Beach Access
2254,a2255,Paid resort access,paid resort access,13,2,3,1,Beach Access
2075,a2076,Lake access,lake access,13,2,76,1,Beach Access
2381,a2382,Public or shared beach access,public share beach access,13,2,3,1,Beach Access
1573,a1574,Free resort access,free resort access,13,2,64,1,Beach Access
2382,a2383,Public or shared beach access – Beachfront,public share beach access,13,2,1,1,Beach Access
2405,a2406,Resort access,resort access,13,2,161,1,Beach Access
1937,a1938,High chair - available upon request,high chair,13,3,15,1,High Chair
2617,a2618,Standalone high chair - available upon request,standalon high chair,13,3,17,1,High Chair
2616,a2617,Standalone high chair - always at the listing,standalon high chair,13,3,12,1,High Chair
983,a984,Clamp on table seat high chair - always at the listing,clamp tabl seat high chair,13,3,1,1,High Chair
