Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
mins,great,home,nashville,family,miles,city,mile,br,neighborhood
br,neighborhood,house,city,miles,music,vanderbilt,attractions,germantown,mile
10,neighbors,area,restaurants,music,br,quickly,ole,restaurants,gulch
11,quiet,quiet,attractions,br,state,new,opry,historic,place
12,home,neighborhood,ole,state,park,gulch,grand,downtown,germantown
13,house,park,opry,park,museum,historic,universities,state,house
museum,park,historic,museums,museum,great,12,museums,area,miles
nashville,area,restaurants,grand,great,13,away,restaurants,place,market
park,family,quickly,universities,city,city,just,cumberland,quickly,away
state,miles,new,cumberland,13,tennessee,area,city,new,just
