Low Review Frequent Bigrams,Mid Review Frequent Bigrams,Top Review Frequent Bigrams
"('first', 'time')","('place', 'clean')","('would', 'definitely')"
"('5', 'stars')","('great', 'location')","('place', 'stay')"
"('stay', 'nashville')","('living', 'room')","('place', 'great')"
"('air', 'bnb')","('great', 'place')","('definitely', 'stay')"
"('washer', 'dryer')","('great', 'stay')","('stay', 'great')"
"('living', 'room')","('place', 'stay')","('great', 'location')"
"('access', 'codes')","('nice', 'place')","('great', 'stay')"
"('able', 'get')","('would', 'definitely')","('highly', 'recommend')"
"('garage', 'door')","('definitely', 'stay')","('great', 'place')"
"('1', 'bedroom')","('close', 'downtown')","('walking', 'distance')"
