Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
br,home,hotel,airbnb,great,sleeping,day,bad,listing,stay
tv,things,book,response,comfortable,arrangements,cancelled,condos,fi,night
dead,asked,included,check,place,couch,trip,used,wi,hours
property,bedroom,able,past,communication,beds,reservation,paint,host,hear
stay,clean,small,host,bed,like,arrival,room,unit,furniture
bugs,cleaned,fix,didn,maxx,condo,host,washer,listings,neighbors
work,house,paid,say,properly,uncomfortable,company,toilet,listed,location
living,mold,took,time,stocked,king,bedroom,shower,stayed,left
air,filthy,place,checked,aware,guests,management,corners,filled,disgusting
issue,water,check,messaging,quite,staying,unit,lot,didn,overall
