,importance
accommodates,0.1760892019721464
num_bathrooms,0.28480817204675074
bedrooms,0.17401054032037
beds,0.06816043103954258
minimum_nights_avg_ntm,0.051854339840574304
maximum_nights_avg_ntm,0.01709533903241759
availability_ind,9.495214290905747e-05
host_is_superhost_ind,0.009666957559662804
latitude,0.00851182165186896
longitude,0.057839775766702704
Free Parking,0.0033178419050701002
Kitchen Appliances,0.0008856769785273689
Patio or Balcony,0.006700705930414088
Kitchen,2.2892079893434496e-05
Hair Dryer,0.000395049066598737
Long Term Stays Allowed,3.48519699944724e-05
Toiletries,8.143362618022873e-05
Kitchen Essentials,0.0001972436949296972
Hot Water,0.0011960322787586842
Fire Extinguisher,0.0017711430600571417
Carbon Monoxide Alarm,0.000963023549850732
Bed Linens,0.00036681696044193476
Self Check-in,0.00041564834462137177
Private Entrance,0.0036116874637483073
First Aid Kit,0.0015354292086943698
Extra Pillows and Blankets,0.001448567207812857
Dedicated Workspace,0.0009201204574810488
Surveillance,0.0010881868872378109
Backyard,0.0013738118309170799
Clothing Storage,0.0007275636158142405
Wine Glasses,0.00013188294435391247
Cleaning Products,0.00040329153971069314
Keypad,0.003377416559992601
BBQ,0.0015765552054719779
Shades,0.001368957448236794
Luggage Dropoff Allowed,0.0006838791361540227
Smart Lock,0.001082840046342801
Pets Allowed,7.373572002814558e-05
Baby Essentials,0.0003155036585148868
Pool,0.0035522060928892983
Gym,0.0010048416445910004
Fire Pit,0.0011345612573474499
Elevator,0.004404511854399897
Lockbox,0.00022481993703636
Fireplace,0.003616363703334544
Paid Parking,0.0071184698340776625
Laundromat Nearby,0.00018568588289895948
Exercise Equipment,5.4623111116218456e-05
View,0.007811908594108348
active_within_0_2,5.817684034399966e-05
arts_within_0_2,0.0010448185823286867
food_within_0_2,0.002348878714452039
nightlife_within_0_2,0.035018430083221905
restaurants_within_0_2,0.01881105077101583
shopping_within_0_2,0.0003239621290318015
active_within_2_4,0.0
arts_within_2_4,9.292161663318628e-05
food_within_2_4,0.0010343958415546144
nightlife_within_2_4,0.0016710229250787541
restaurants_within_2_4,0.014449834626463756
shopping_within_2_4,0.0
active_beyond_4,0.0
arts_beyond_4,0.00012652788858089807
food_beyond_4,0.0016831343034678027
nightlife_beyond_4,0.005061269654527368
restaurants_beyond_4,0.004905566556488216
shopping_beyond_4,6.269780621686566e-05
