,AirBnB_id,active_within_0_2,arts_within_0_2,food_within_0_2,nightlife_within_0_2,restaurants_within_0_2,shopping_within_0_2,active_within_2_4,arts_within_2_4,food_within_2_4,nightlife_within_2_4,restaurants_within_2_4,shopping_within_2_4,active_beyond_4,arts_beyond_4,food_beyond_4,nightlife_beyond_4,restaurants_beyond_4,shopping_beyond_4
0,10017234,1,0,1,0,8,0,0,0,2,3,4,0,0,0,0,1,5,0
1,10036680,0,1,0,1,4,0,0,0,2,2,7,0,0,0,0,1,6,0
2,10056974,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,1,6,0
3,1006989,0,0,2,2,8,0,0,1,1,2,9,0,0,0,0,0,0,0
4,1009550,0,1,0,1,3,0,0,0,2,3,8,0,0,0,0,1,6,0
5,10106032,0,0,4,6,15,0,0,0,0,1,2,0,0,0,0,0,0,0
6,10163485,0,1,3,3,7,1,0,0,0,3,10,0,0,0,0,0,0,0
7,10194770,0,0,2,2,8,0,0,0,0,2,9,0,0,0,0,0,1,0
8,10228685,0,1,2,8,17,0,0,0,0,0,1,0,0,0,0,0,0,0
9,10231662,0,0,0,0,9,0,0,0,4,0,8,0,0,0,0,1,2,0
10,10234851,0,0,1,8,18,0,0,0,0,0,1,0,0,0,0,0,0,0
11,10267201,0,0,3,6,9,0,0,0,0,1,3,0,0,0,1,3,7,0
12,10268835,0,0,6,5,10,0,0,0,0,1,7,0,0,0,0,0,0,0
13,10293691,0,1,1,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10309379,0,1,2,8,17,0,0,0,0,0,1,0,0,0,0,0,0,0
15,10330577,0,0,1,0,5,0,1,0,0,0,6,0,0,0,0,2,8,0
16,10333607,0,0,1,3,9,0,0,0,0,3,10,0,0,0,0,0,0,0
17,10410232,0,0,2,5,14,0,0,0,0,2,3,0,0,0,0,0,0,0
18,10411052,0,0,2,3,9,0,0,0,0,3,10,0,0,0,0,0,0,0
19,10423877,0,1,1,3,7,0,0,0,1,3,11,0,0,0,0,0,0,0
20,10426942,1,0,0,0,2,0,0,1,3,6,15,0,0,0,0,0,0,0
21,10428006,0,0,2,6,14,0,0,0,0,1,4,0,0,0,0,0,0,0
22,10448038,0,1,2,8,16,0,0,0,0,0,1,0,0,0,0,0,0,0
23,10452356,0,0,1,0,1,0,0,0,3,0,7,0,0,0,2,1,9,0
24,10452358,0,0,1,0,1,0,0,0,3,0,7,0,0,0,2,1,9,0
25,10452361,0,0,1,0,1,0,0,0,3,0,7,0,0,0,2,1,9,0
26,10457284,0,0,0,0,2,0,0,1,2,8,15,0,0,0,0,0,0,0
27,10469646,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10472626,0,0,4,5,15,0,0,0,0,1,2,0,0,0,0,0,0,0
29,10498527,0,1,2,1,4,0,0,1,2,4,9,0,0,0,1,2,3,0
30,10513612,0,1,1,0,5,0,1,0,0,0,8,0,0,0,0,2,6,0
31,10513727,0,0,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10528368,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10549143,0,0,1,2,5,0,0,0,2,5,12,0,0,0,0,0,0,0
34,10561858,0,0,1,0,2,0,0,1,1,1,3,0,0,0,2,3,11,0
35,10565637,0,1,1,2,6,0,0,0,1,2,4,0,0,0,0,1,7,0
36,10617955,0,0,4,6,15,0,0,0,0,1,2,0,0,0,0,0,0,0
37,10763969,1,0,0,0,3,0,0,1,2,6,14,0,0,0,0,0,0,0
38,10807486,0,1,2,6,13,0,0,0,0,0,5,0,0,0,0,0,0,0
39,10839746,0,0,0,0,6,0,0,1,1,3,9,0,0,1,2,2,3,0
40,10888146,0,0,2,1,8,0,0,1,2,1,6,0,0,0,0,2,3,0
41,10902213,0,0,2,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10904943,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10905803,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10906429,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10906882,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10907204,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10907474,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
48,10907863,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10908056,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10908681,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
51,10908989,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
52,10909222,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
53,10909378,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
54,10909635,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
55,10909755,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
56,10909867,0,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
57,10959694,0,0,0,0,1,0,1,0,1,1,8,0,0,0,0,3,10,0
58,10960823,0,1,0,1,2,0,0,0,1,2,5,0,0,0,0,3,11,0
59,10973882,0,1,0,1,1,0,0,0,2,0,4,0,0,0,0,3,12,0
60,10985505,0,0,0,0,7,0,0,0,2,0,6,0,0,0,0,2,7,0
61,10985810,0,0,6,4,14,0,0,0,0,1,3,0,0,0,0,0,0,0
62,11007461,0,0,3,3,8,0,0,0,2,1,7,0,0,0,0,1,2,0
63,11008928,0,1,2,4,8,0,0,0,0,2,10,0,0,0,0,0,0,0
64,11024062,0,0,2,2,5,0,0,0,0,4,12,0,0,0,0,0,1,0
65,11048972,0,1,2,2,5,0,0,0,0,2,4,0,0,0,0,1,8,0
66,11074483,0,0,0,0,0,0,0,0,4,0,6,0,0,0,3,2,11,0
67,11079846,0,0,4,4,11,0,0,0,0,1,6,0,0,0,0,0,0,0
68,11083902,0,0,5,6,14,0,0,0,0,1,3,0,0,0,0,0,0,0
69,11108095,1,0,5,3,11,0,0,0,0,2,6,0,0,0,0,0,0,0
70,11134493,0,1,2,8,14,0,0,0,0,0,4,0,0,0,0,0,0,0
71,11154883,0,0,1,5,12,0,0,0,0,1,7,0,0,0,0,0,0,0
72,11159003,0,1,1,1,3,0,0,0,1,4,14,0,0,0,0,0,0,0
73,11159013,0,1,0,1,4,0,0,0,2,2,5,0,0,0,0,1,8,0
74,11167415,0,0,2,0,8,0,0,0,0,2,8,0,0,1,0,1,2,0
75,11186757,0,1,1,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
76,11187333,0,0,4,4,12,0,0,0,0,2,5,0,0,0,0,0,0,0
77,11243563,0,0,0,1,1,0,0,0,6,3,9,0,0,0,0,1,6,0
78,11305104,0,1,1,8,16,0,0,0,0,0,3,0,0,0,0,0,0,0
79,11318225,0,0,2,7,15,0,0,0,0,0,3,0,0,0,0,0,0,0
80,11320018,0,0,0,2,6,0,1,0,4,1,7,0,0,0,0,1,4,0
81,11336505,1,0,0,0,3,0,0,1,2,7,13,0,0,0,0,0,0,0
82,11340340,0,0,0,0,3,0,0,1,1,1,7,0,0,0,2,4,9,0
83,11358238,0,0,1,7,16,0,0,0,0,0,3,0,0,0,0,0,0,0
84,11360569,0,0,3,3,6,0,0,1,1,3,4,0,0,0,0,3,8,0
85,11375711,0,0,2,2,9,0,0,0,0,2,9,0,0,0,0,0,0,0
86,11387629,0,0,0,9,17,0,0,0,0,0,3,0,0,0,0,0,0,0
87,11387993,0,0,6,5,10,0,0,0,0,1,7,0,0,0,0,0,0,0
88,11438990,0,0,1,3,7,0,0,0,1,3,11,0,0,0,0,0,0,0
89,11442399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,18,0
90,11443793,0,0,2,2,9,0,0,0,0,2,8,0,0,0,0,0,1,0
91,11465403,0,0,2,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
92,11562188,0,1,1,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0
93,11567257,0,0,1,1,6,0,0,0,3,0,9,0,0,0,1,2,3,0
94,11593813,0,0,0,0,2,0,0,1,2,3,8,0,0,0,0,1,7,0
95,11597189,0,1,0,1,2,0,0,0,3,2,5,0,0,0,0,3,10,0
96,11610349,0,0,2,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
97,11671060,0,0,3,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
98,11671431,0,0,3,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
99,11671760,0,0,2,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
100,11671977,0,0,3,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
101,11671995,0,1,0,1,2,0,0,0,3,4,7,0,0,0,0,3,9,0
102,11672549,0,1,2,6,14,0,0,0,0,0,4,0,0,0,0,0,0,0
103,11672613,0,1,2,6,14,0,0,0,0,0,4,0,0,0,0,0,0,0
104,11680555,0,0,0,0,2,0,0,0,3,5,10,0,0,0,1,3,7,0
105,11680808,0,0,2,2,7,0,0,0,0,3,11,0,0,0,0,0,0,0
106,11699118,0,0,5,4,12,0,0,0,0,1,5,0,0,0,0,0,0,0
107,11719109,0,1,0,1,3,0,0,0,2,2,6,0,0,0,0,1,8,0
108,11719115,0,1,0,1,3,0,0,0,2,2,6,0,0,0,0,1,8,0
